,INSEE_COM,NOM_COMMUNE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
191,29247,Saint-Évarzec,28,0.0,11.0,43.0,89.0,89.0,89.0,11.0,45,0,156546.0,4294.0,2120.0,0,0,2120,0,0,0,0,0
192,29248,Saint-Frégant,10,0.0,50.0,90.0,100.0,100.0,100.0,0.0,10,0,4344.0,1113.0,0.0,0,0,0,0,0,0,0,0
193,29251,Saint-Jean-du-Doigt,8,0.0,25.0,38.0,62.0,75.0,75.0,25.0,7,1,1988.0,697.0,1305.0,0,0,0,0,0,1305,0,0
194,29252,Saint-Jean-Trolimon,10,0.0,40.0,50.0,100.0,100.0,100.0,0.0,12,0,353846.0,1457.0,3061.0,0,0,0,0,0,3061,0,0
195,29254,Saint-Martin-des-Champs,6,0.0,33.0,83.0,100.0,100.0,100.0,0.0,5,0,8550.0,481.0,268.0,0,0,0,0,0,0,268,0
196,29256,Saint-Nic,2,0.0,50.0,50.0,100.0,100.0,100.0,0.0,1,0,7480.0,58.0,141.0,0,42,0,0,0,0,99,0
197,29257,Saint-Pabu,8,0.0,12.0,50.0,88.0,88.0,88.0,12.0,6,0,63206.0,706.0,201.0,0,0,0,0,0,200,0,1
198,29259,Saint-Pol-de-Léon,61,0.0,26.0,51.0,72.0,79.0,80.0,20.0,54,10,145612.0,7057.0,46131.0,0,41,856,1114,0,32160,923,11037
199,29268,Saint-Thonan,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0,106.0,0,0,0,0,0,106,0,0
200,29273,Santec,14,0.0,43.0,64.0,86.0,100.0,100.0,0.0,12,4,9767.0,1307.0,389.0,0,0,0,0,0,270,0,119
201,29276,Sibiril,5,0.0,0.0,40.0,80.0,80.0,80.0,20.0,5,2,4533.0,545.0,0.0,0,0,0,0,0,0,0,0
202,29279,Taulé,5,0.0,40.0,80.0,100.0,100.0,100.0,0.0,3,0,10093.0,385.0,3634.0,0,0,0,0,0,3494,0,140
203,29280,Telgruc-sur-Mer,15,0.0,27.0,33.0,73.0,93.0,93.0,7.0,12,2,132697.0,1299.0,1294.0,0,0,0,0,0,1283,0,11
204,29282,Trébabu,3,0.0,33.0,67.0,67.0,67.0,67.0,33.0,5,0,23381.0,567.0,456.0,0,0,0,0,0,456,0,0
205,29284,Treffiagat,11,0.0,0.0,45.0,64.0,64.0,64.0,36.0,21,0,26942.0,2642.0,2037.0,0,160,0,625,0,0,1252,0
206,29285,Tréflaouénan,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0,60604.0,0.0,25650.0,0,0,0,0,0,25650,0,0
207,29287,Tréflez,20,0.0,25.0,40.0,55.0,60.0,60.0,40.0,18,10,83585.0,2344.0,5408.0,0,0,0,0,0,5408,0,0
208,29289,Trégarvan,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,8.0,0,0,0,0,8,0,0,0
209,29290,Tréglonou,10,0.0,0.0,0.0,80.0,90.0,100.0,0.0,9,1,17989.0,950.0,3.0,0,0,0,0,0,0,0,3
210,29292,Tréguennec,2,0.0,50.0,100.0,100.0,100.0,100.0,0.0,2,0,7010.0,190.0,0.0,0,0,0,0,0,0,0,0
211,29293,Trégunc,78,0.0,15.0,46.0,74.0,90.0,92.0,8.0,122,7,69991.0,12112.0,0.0,0,0,0,0,0,0,0,0
212,29296,Tréméoc,32,0.0,6.0,66.0,91.0,91.0,91.0,9.0,32,0,112019.0,3516.0,151.0,0,0,0,0,0,0,0,151
213,29298,Tréogat,2,0.0,50.0,100.0,100.0,100.0,100.0,0.0,2,0,6334.0,242.0,0.0,0,0,0,0,0,0,0,0
214,35049,Cancale,21,0.0,33.0,48.0,86.0,100.0,100.0,0.0,52,1,33501.0,4309.0,4881.0,0,39,0,2844,258,82,948,710
215,35070,Châteauneuf-d'Ille-et-Vilaine,2,0.0,50.0,50.0,100.0,100.0,100.0,0.0,1,0,33095.0,231.0,462.0,0,462,0,0,0,0,0,0
216,35078,Cherrueix,5,0.0,40.0,60.0,80.0,80.0,80.0,20.0,6,0,1767.0,652.0,0.0,0,0,0,0,0,0,0,0
217,35093,Dinard,5,0.0,60.0,60.0,80.0,80.0,80.0,20.0,8,0,54140.0,983.0,625.0,0,0,0,0,0,421,0,204
218,35116,La Fresnais,41,0.0,15.0,59.0,90.0,93.0,95.0,5.0,42,1,66457.0,4711.0,2288.0,0,0,213,914,0,1161,0,0
219,35122,La Gouesnière,47,0.0,19.0,57.0,94.0,94.0,96.0,4.0,41,7,16076.0,4107.0,4543.0,0,0,0,507,0,60,3968,8
220,35132,Hirel,5,0.0,0.0,60.0,80.0,80.0,80.0,20.0,10,1,1370.0,866.0,0.0,0,0,0,0,0,0,0,0
