,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,TacheUrb2014,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
113,22242,Plurien,200069391,extérieur,117,3.0,26.0,44.0,62.0,81.0,85.0,15.0,120,8,371279.0,13579.0,6367.0,151,164,26,1400,0,4091,246,138
114,22242,Plurien,200069391,intérieur,77,3.0,36.0,56.0,70.0,83.0,88.0,12.0,97,4,321514.0,9709.0,7505.0,0,153,31,290,0,3999,3032,0
115,22246,Pommeret,200069391,extérieur,6,0.0,0.0,33.0,100.0,100.0,100.0,0.0,9,0,589.0,912.0,0.0,0,0,0,0,0,0,0,0
116,22246,Pommeret,200069391,intérieur,9,0.0,33.0,56.0,100.0,100.0,100.0,0.0,6,0,69978.0,817.0,740.0,0,429,0,311,0,0,0,0
117,22251,Pordic,200069409,extérieur,231,3.0,37.0,74.0,93.0,96.0,97.0,3.0,295,1,342942.0,29321.0,8610.0,0,1573,2196,922,0,2574,1203,142
118,22251,Pordic,200069409,intérieur,151,3.0,38.0,75.0,91.0,95.0,95.0,5.0,355,1,193930.0,33891.0,6404.0,0,390,908,2034,361,0,2506,0
119,22258,Quessoy,200069391,extérieur,14,0.0,21.0,36.0,86.0,100.0,100.0,0.0,15,0,28316.0,1549.0,0.0,0,0,0,0,0,0,0,0
120,22258,Quessoy,200069391,intérieur,8,25.0,50.0,50.0,100.0,100.0,100.0,0.0,11,0,5640.0,875.0,0.0,0,0,0,0,0,0,0,0
121,22265,Rospez,200065928,extérieur,4,0.0,0.0,50.0,50.0,75.0,75.0,25.0,3,0,42634.0,324.0,22.0,0,0,0,0,22,0,0,0
122,22265,Rospez,200065928,intérieur,3,33.0,67.0,100.0,100.0,100.0,100.0,0.0,3,0,2099.0,352.0,0.0,0,0,0,0,0,0,0,0
123,22268,Ruca,200068989,extérieur,23,4.0,4.0,17.0,91.0,96.0,96.0,4.0,22,0,71708.0,2267.0,668.0,0,0,0,0,0,668,0,0
124,22268,Ruca,200068989,intérieur,10,0.0,0.0,10.0,40.0,50.0,60.0,40.0,10,1,10680.0,712.0,0.0,0,0,0,0,0,0,0,0
125,22273,Saint-Alban,200069391,extérieur,185,2.0,31.0,72.0,85.0,93.0,94.0,6.0,162,1,611558.0,17731.0,14920.0,0,1114,4500,2089,0,3036,3931,250
126,22273,Saint-Alban,200069391,intérieur,54,4.0,28.0,67.0,87.0,89.0,96.0,4.0,47,1,128227.0,5408.0,2096.0,0,0,0,1138,0,731,0,227
127,22278,Saint-Brieuc,200069409,extérieur,9,0.0,22.0,67.0,67.0,100.0,100.0,0.0,5,0,33604.0,605.0,1171.0,0,0,0,756,0,302,0,113
128,22278,Saint-Brieuc,200069409,intérieur,243,5.0,26.0,75.0,85.0,94.0,95.0,5.0,1193,0,1722719.0,80176.0,71234.0,2781,38764,8363,3516,326,34,5306,10962
129,22282,Saint-Cast-le-Guildo,200068989,extérieur,115,3.0,3.0,9.0,51.0,80.0,84.0,16.0,112,32,578397.0,14258.0,4317.0,1047,0,0,175,0,1869,733,263
130,22282,Saint-Cast-le-Guildo,200068989,intérieur,236,6.0,5.0,13.0,50.0,69.0,72.0,28.0,283,65,279002.0,36704.0,4509.0,0,334,1051,210,0,15,0,2517
